tPlunge     logmu     logM     ePlunge     nuPlunge     gamPlunge     phiPlunge     costhetaSky     phiSky     cosLambda     alpPlunge     SMBHspin     costhetaSpin     phiSpin     Zeta     SMBHQuad      SNRI     SNRII     SNR_tot   
25190001.6077    -8.36601497405    2.56320516984    0.071083823561    0.000799561272456    2.78153715201    4.82747734048    0.132196128313    1.54169781236    0.571552276459    3.42437787621    0.0    -0.710860891704    2.82070533109    6.73655106092e-23    0.0    4.19381797234    3.39439967477    5.39537379031  
29374110.9013    -8.31325235822    4.38895830728    0.0681697753379    0.000129068808288    4.50812785658    5.9955331966    0.249643467303    2.6267953832    -0.418600419762    5.61680392099    0.0    -0.348727335395    6.17448705128    6.55867170791e-23    0.0    0.135990121954    0.140232598914    0.195341995145  
44820017.2106    -8.43129903048    4.0574619969    0.186621288456    0.000162200992793    5.79477482339    6.21248843637    0.453419134126    2.07976935242    0.632282877159    1.68511775315    0.0    -0.794855482692    1.16492994112    6.97696080197e-23    0.0    0.268184357311    0.273507424583    0.383052425666  
12587516.4843    -8.48049269323    2.14294415032    0.182763837129    0.00110476044573    3.64103667567    1.61306553429    -0.3393318471    0.509901061187    0.00529630203365    4.49203445025    0.0    -0.421050073486    3.25287485758    7.17523650278e-23    0.0    3.75734585024    3.98246645945    5.47518830169  
13611948.7395    -8.48398857664    1.59051198073    0.167492945675    0.00194946013231    2.32878634292    2.15433897596    -0.685674264119    5.24523391295    0.166221215777    1.73948369665    0.0    -0.114809436236    6.26082993207    7.18971095906e-23    0.0    6.36936414339    7.42701840721    9.78414033076  
61841389.8025    -8.78664788759    2.89735964979    0.011897613145    0.000593765969819    2.13024622531    4.3875389163    0.481096800274    0.138390471337    0.883787556921    1.91858093339    0.0    0.708243063241    4.7472625631    8.86821428692e-23    0.0    1.78078368623    1.71319661334    2.47107935386  
438855.839041    -8.62095639877    2.57605439144    0.0496420450242    0.000800807774167    4.59998481994    0.546874118038    -0.649433927622    4.59384473751    -0.567036594599    2.73371809925    0.0    -0.974825825449    1.59598285127    7.83796883699e-23    0.0    0.420714512353    1.09055326538    1.16889140879  
27787662.1607    -8.31004407812    2.06287150731    0.101823888882    0.00128874278575    0.858226679037    1.68379405427    -0.413337155793    2.98917759757    0.744707411071    4.62026300994    0.0    0.904746244208    1.32846576118    6.54838375039e-23    0.0    4.19736456928    3.76385109723    5.63776945338  
62881658.2245    -8.46216815814    2.56928676389    0.0179088442094    0.000821636888383    4.15635114558    3.46121364068    -0.191486056509    0.256603457545    0.7180498823    4.07411829821    0.0    -0.786892440097    5.92947262731    7.099568798e-23    0.0    4.8060374953    5.35788736793    7.19756580058  
35830264.5151    -8.84997049341    1.33298182185    0.157030177442    0.00254791807324    5.9337206305    0.521894724094    0.685481620338    1.5396881502    -0.777262847262    1.8330426446    0.0    -0.841770567413    1.64769234425    9.35959692737e-23    0.0    5.9707366502    8.90430760848    10.7208390592  
